entry_time,exit_time,direction,entry_price,exit_price,gross_pnl,net_pnl,exit_reason
2025-09-04 14:00:00+00:00,2025-09-04 14:15:00+00:00,SHORT,4338.67,4349.1151360058475,-0.0024074511326852275,-0.0049074511326852276,SL
2025-09-05 12:45:00+00:00,2025-09-05 13:00:00+00:00,LONG,4471.12,4457.812673816802,-0.0029762847302684343,-0.005476284730268434,SL
2025-09-05 14:00:00+00:00,2025-09-05 14:15:00+00:00,SHORT,4401.63,4375.030830622393,0.006043027100780123,0.003543027100780123,TP
2025-09-05 14:30:00+00:00,2025-09-05 15:00:00+00:00,SHORT,4291.49,4261.144348116831,0.007071122589862498,0.004571122589862498,TP
2025-09-06 15:00:00+00:00,2025-09-06 15:15:00+00:00,SHORT,4272.95,4280.184676320175,-0.0016931338583823618,-0.004193133858382362,SL
2025-09-06 16:45:00+00:00,2025-09-06 17:00:00+00:00,LONG,4289.97,4282.85565838442,-0.0016583662859134417,-0.0041583662859134415,SL
2025-09-06 21:45:00+00:00,2025-09-06 22:00:00+00:00,LONG,4283.31,4276.971748362723,-0.0014797555248809,-0.0039797555248809,SL
2025-09-08 13:00:00+00:00,2025-09-08 13:15:00+00:00,LONG,4358.92,4351.980058910688,-0.001592123986976594,-0.004092123986976594,SL
2025-09-08 15:15:00+00:00,2025-09-08 15:30:00+00:00,LONG,4381.5,4372.971772672135,-0.001946417283547952,-0.004446417283547952,SL
2025-09-09 14:30:00+00:00,2025-09-09 14:45:00+00:00,SHORT,4292.46,4300.794699442455,-0.0019417069564898965,-0.004441706956489896,SL
2025-09-09 15:00:00+00:00,2025-09-09 16:00:00+00:00,SHORT,4291.29,4294.42,-0.0007293844042234641,-0.0032293844042234642,Time_Exit
2025-09-10 12:30:00+00:00,2025-09-10 12:45:00+00:00,LONG,4378.62,4370.680125657947,-0.0018133280216260975,-0.004313328021626098,SL
2025-09-10 13:00:00+00:00,2025-09-10 13:15:00+00:00,LONG,4384.22,4375.68717728512,-0.0019462578782269684,-0.004446257878226969,SL
2025-09-10 13:45:00+00:00,2025-09-10 14:00:00+00:00,LONG,4417.92,4435.54238010484,0.003988840926236776,0.001488840926236776,TP
2025-09-11 12:30:00+00:00,2025-09-11 12:45:00+00:00,SHORT,4414.57,4426.208022194745,-0.002636275377838758,-0.005136275377838758,SL
2025-09-12 00:30:00+00:00,2025-09-12 00:45:00+00:00,LONG,4508.16,4496.496808183264,-0.0025871290763273464,-0.0050871290763273465,SL_Pessimistic
2025-09-12 22:15:00+00:00,2025-09-12 22:30:00+00:00,LONG,4714.93,4703.55958627395,-0.0024115763597869263,-0.004911576359786927,SL
2025-09-13 03:30:00+00:00,2025-09-13 04:15:00+00:00,LONG,4747.33,4735.222429719059,-0.002550395755285859,-0.005050395755285859,SL
2025-09-13 13:45:00+00:00,2025-09-13 14:15:00+00:00,SHORT,4685.79,4697.768462113432,-0.002556337802896036,-0.005056337802896035,SL
2025-09-14 14:15:00+00:00,2025-09-14 14:30:00+00:00,SHORT,4614.72,4598.117541318032,0.0035977174524063275,0.0010977174524063275,TP
2025-09-15 07:30:00+00:00,2025-09-15 07:45:00+00:00,SHORT,4606.87,4588.915846271486,0.003897256429748187,0.001397256429748187,TP
2025-09-15 08:00:00+00:00,2025-09-15 08:45:00+00:00,SHORT,4565.05,4546.915587126969,0.003972445619003424,0.0014724456190034238,TP
2025-09-15 10:00:00+00:00,2025-09-15 10:15:00+00:00,SHORT,4509.14,4519.557477653121,-0.0023103025528417483,-0.004810302552841749,SL
2025-09-15 13:30:00+00:00,2025-09-15 13:45:00+00:00,SHORT,4498.09,4508.674901388907,-0.002353199110935191,-0.004853199110935191,SL
2025-09-16 13:30:00+00:00,2025-09-16 13:45:00+00:00,SHORT,4455.3,4463.839285719862,-0.0019166578501699468,-0.004416657850169947,SL_Pessimistic
2025-09-16 14:00:00+00:00,2025-09-16 14:15:00+00:00,SHORT,4434.88,4444.4865949648865,-0.002166145412026126,-0.004666145412026126,SL
2025-09-16 15:45:00+00:00,2025-09-16 16:00:00+00:00,LONG,4468.2,4457.964651949085,-0.002290709469342147,-0.004790709469342147,SL
2025-09-17 17:45:00+00:00,2025-09-17 18:00:00+00:00,SHORT,4433.77,4442.688616924616,-0.0020115199761412722,-0.004511519976141272,SL_Pessimistic
2025-09-17 18:15:00+00:00,2025-09-17 18:30:00+00:00,LONG,4497.75,4485.566626688272,-0.0027087706768335828,-0.005208770676833583,SL
2025-09-19 03:30:00+00:00,2025-09-19 04:00:00+00:00,SHORT,4553.44,4537.100469703447,0.0035883925771620505,0.0010883925771620504,TP
2025-09-19 14:45:00+00:00,2025-09-19 15:00:00+00:00,SHORT,4495.75,4480.25882874918,0.0034457368071667944,0.0009457368071667943,TP
2025-09-20 14:45:00+00:00,2025-09-20 15:15:00+00:00,LONG,4487.18,4501.657330747129,0.0032263761977742566,0.0007263761977742565,TP
2025-09-21 02:15:00+00:00,2025-09-21 03:15:00+00:00,SHORT,4475.87,4477.61,-0.00038875123718959257,-0.002888751237189593,Time_Exit
2025-09-22 00:15:00+00:00,2025-09-22 00:30:00+00:00,SHORT,4427.62,4415.648679645087,0.002703782247553466,0.00020378224755346602,TP
2025-09-22 00:45:00+00:00,2025-09-22 01:00:00+00:00,SHORT,4336.27,4345.242657158358,-0.002069210902078937,-0.0045692109020789365,SL
2025-09-22 01:45:00+00:00,2025-09-22 02:00:00+00:00,SHORT,4328.22,4337.558738464721,-0.0021576395064761807,-0.00465763950647618,SL
2025-09-22 02:15:00+00:00,2025-09-22 02:30:00+00:00,SHORT,4309.37,4290.518881895208,0.004374448725635433,0.0018744487256354332,TP
2025-09-22 05:45:00+00:00,2025-09-22 06:00:00+00:00,SHORT,4219.39,4199.661946664306,0.004675570007914488,0.002175570007914488,TP
2025-09-22 06:15:00+00:00,2025-09-22 07:00:00+00:00,LONG,4180.65,4206.535816867746,0.006191816312713608,0.0036918163127136077,TP
2025-09-24 04:00:00+00:00,2025-09-24 04:15:00+00:00,SHORT,4100.1,4109.282186026356,-0.002239502945380683,-0.004739502945380683,SL
2025-09-25 01:30:00+00:00,2025-09-25 01:45:00+00:00,SHORT,4085.55,4095.9790901739048,-0.002552677160701636,-0.005052677160701636,SL
