entry_time,exit_time,direction,entry_price,exit_price,gross_pnl,net_pnl,exit_reason
2025-09-04 14:00:00+00:00,2025-09-04 14:15:00+00:00,SHORT,109810.2,110004.74568556884,-0.0017716540500685636,-0.0036716540500685638,SL
2025-09-05 07:00:00+00:00,2025-09-05 07:15:00+00:00,LONG,112345.97,112726.67845050315,0.003388714793268976,0.0014887147932689758,TP
2025-09-05 14:00:00+00:00,2025-09-05 14:15:00+00:00,SHORT,112235.56,111848.30916690009,0.0034503399198962583,0.0015503399198962583,TP
2025-09-08 08:30:00+00:00,2025-09-08 08:45:00+00:00,LONG,111807.35,111697.34832324571,-0.0009838501382449221,-0.002883850138244922,SL
2025-09-08 13:45:00+00:00,2025-09-08 14:00:00+00:00,SHORT,111906.55,112029.02949135216,-0.0010944800939012226,-0.0029944800939012226,SL
2025-09-08 14:30:00+00:00,2025-09-08 14:45:00+00:00,LONG,112596.37,112466.77358200582,-0.001150982203015783,-0.003050982203015783,SL
2025-09-09 14:00:00+00:00,2025-09-09 14:30:00+00:00,SHORT,112433.68,112148.12644065662,0.002539751072306574,0.0006397510723065742,TP
2025-09-09 15:30:00+00:00,2025-09-09 15:45:00+00:00,SHORT,110801.52,110963.94864866819,-0.0014659424227048625,-0.0033659424227048627,SL
2025-09-10 12:30:00+00:00,2025-09-10 12:45:00+00:00,LONG,113260.28,113092.5616464258,-0.001480822346317644,-0.003380822346317644,SL
2025-09-10 13:00:00+00:00,2025-09-10 13:15:00+00:00,LONG,113728.6,113546.44980751626,-0.0016016216895640171,-0.003501621689564017,SL
2025-09-11 12:30:00+00:00,2025-09-11 12:45:00+00:00,SHORT,113863.86,114016.75620655005,-0.0013427983782567422,-0.003242798378256742,SL
2025-09-11 22:15:00+00:00,2025-09-11 23:00:00+00:00,LONG,115033.66,115354.35835946523,0.002787865390575476,0.0008878653905754761,TP
2025-09-14 14:30:00+00:00,2025-09-14 14:45:00+00:00,SHORT,115306.24,115388.11851669749,-0.0007100961465527353,-0.0026100961465527353,SL
2025-09-15 04:15:00+00:00,2025-09-15 05:00:00+00:00,LONG,115962.44,116177.98367208557,0.0018587369503915668,-4.126304960843318e-05,TP
2025-09-15 08:45:00+00:00,2025-09-15 09:00:00+00:00,SHORT,114737.27,114873.86446903613,-0.0011904978132748073,-0.003090497813274807,SL
2025-09-16 17:00:00+00:00,2025-09-16 17:30:00+00:00,LONG,116531.93,116380.0843031273,-0.0013030394062185091,-0.003203039406218509,SL_Pessimistic
2025-09-17 05:45:00+00:00,2025-09-17 06:45:00+00:00,LONG,117108.3,117234.27,0.0010756709814761308,-0.0008243290185238692,Time_Exit
2025-09-17 18:15:00+00:00,2025-09-17 18:30:00+00:00,LONG,115961.73,115817.00182498171,-0.0012480684361839748,-0.0031480684361839747,SL
2025-09-17 18:45:00+00:00,2025-09-17 19:00:00+00:00,LONG,115226.93,115596.80749808498,0.0032099917795691065,0.0013099917795691065,TP
2025-09-18 03:00:00+00:00,2025-09-18 03:30:00+00:00,LONG,117440.32,117862.9091501056,0.003598331051086956,0.001698331051086956,TP
2025-09-22 00:30:00+00:00,2025-09-22 00:45:00+00:00,SHORT,114846.87,114677.3156934811,0.0014763511318932562,-0.0004236488681067438,TP
2025-09-22 02:30:00+00:00,2025-09-22 02:45:00+00:00,SHORT,114286.7,114395.7743234277,-0.000954392098360556,-0.002854392098360556,SL
2025-09-22 05:45:00+00:00,2025-09-22 06:00:00+00:00,SHORT,113691.19,113456.44804169048,0.0020647330572361668,0.00016473305723616678,TP
2025-09-22 07:45:00+00:00,2025-09-22 08:00:00+00:00,SHORT,112519.99,112671.42852488927,-0.0013458810731254503,-0.00324588107312545,SL
